Time=0 | A= 0 | B= 0 | Min= 0
Time=10000 | A= 0 | B= 1 | Min= 0
Time=20000 | A= 0 | B= 2 | Min= 0
Time=30000 | A= 0 | B= 3 | Min= 0
Time=40000 | A= 0 | B= 4 | Min= 0
Time=50000 | A= 0 | B= 5 | Min= 0
Time=60000 | A= 0 | B= 6 | Min= 0
Time=70000 | A= 0 | B= 7 | Min= 0
Time=80000 | A= 0 | B= 8 | Min= 0
Time=90000 | A= 0 | B= 9 | Min= 0
Time=100000 | A= 0 | B=10 | Min= 0
Time=110000 | A= 0 | B=11 | Min= 0
Time=120000 | A= 0 | B=12 | Min= 0
Time=130000 | A= 0 | B=13 | Min= 0
Time=140000 | A= 0 | B=14 | Min= 0
Time=150000 | A= 0 | B=15 | Min= 0
Time=160000 | A= 1 | B= 0 | Min= 0
Time=170000 | A= 1 | B= 1 | Min= 1
Time=180000 | A= 1 | B= 2 | Min= 1
Time=190000 | A= 1 | B= 3 | Min= 1
Time=200000 | A= 1 | B= 4 | Min= 1
Time=210000 | A= 1 | B= 5 | Min= 1
Time=220000 | A= 1 | B= 6 | Min= 1
Time=230000 | A= 1 | B= 7 | Min= 1
Time=240000 | A= 1 | B= 8 | Min= 1
Time=250000 | A= 1 | B= 9 | Min= 1
Time=260000 | A= 1 | B=10 | Min= 1
Time=270000 | A= 1 | B=11 | Min= 1
Time=280000 | A= 1 | B=12 | Min= 1
Time=290000 | A= 1 | B=13 | Min= 1
Time=300000 | A= 1 | B=14 | Min= 1
Time=310000 | A= 1 | B=15 | Min= 1
Time=320000 | A= 2 | B= 0 | Min= 0
Time=330000 | A= 2 | B= 1 | Min= 1
Time=340000 | A= 2 | B= 2 | Min= 2
Time=350000 | A= 2 | B= 3 | Min= 2
Time=360000 | A= 2 | B= 4 | Min= 2
Time=370000 | A= 2 | B= 5 | Min= 2
Time=380000 | A= 2 | B= 6 | Min= 2
Time=390000 | A= 2 | B= 7 | Min= 2
Time=400000 | A= 2 | B= 8 | Min= 2
Time=410000 | A= 2 | B= 9 | Min= 2
Time=420000 | A= 2 | B=10 | Min= 2
Time=430000 | A= 2 | B=11 | Min= 2
Time=440000 | A= 2 | B=12 | Min= 2
Time=450000 | A= 2 | B=13 | Min= 2
Time=460000 | A= 2 | B=14 | Min= 2
Time=470000 | A= 2 | B=15 | Min= 2
Time=480000 | A= 3 | B= 0 | Min= 0
Time=490000 | A= 3 | B= 1 | Min= 1
Time=500000 | A= 3 | B= 2 | Min= 2
Time=510000 | A= 3 | B= 3 | Min= 3
Time=520000 | A= 3 | B= 4 | Min= 3
